Competition Schedule for 2021: The Event Line-up for Each Session of the Olympic Games Tokyo 2020;;;;;;
SPORT(DISCIPLINE);VENUE;DATE;START TIME;END TIME;EVENT;
Artistic Gymnastics;Ariake Gymnastics Centre;2021-07-27;19:45;22:00;"Women's Team Final /
Women's Team Victory Ceremony";
Artistic Gymnastics;Ariake Gymnastics Centre;2021-07-28;19:15;22:00;"Men's Individual All-Around Final /
Men's Individual All-Around Victory Ceremony";
Artistic Gymnastics;Ariake Gymnastics Centre;2021-07-29;19:50;22:00;"Women's Individual All-Around Final /
Women's Individual All-Around Victory Ceremony";
Artistic Gymnastics;Ariake Gymnastics Centre;2021-08-01;17:00;20:00;"Men's Floor Exercise Final /
Men's Floor Exercise Victory Ceremony / Women's Vault Final /
Women's Vault Victory Ceremony / Men's Pommel Horse Final /
Men's Pommel Horse Victory Ceremony / Women's Uneven Bars Final /
Women's Uneven Bars Victory Ceremony";
Artistic Gymnastics;Ariake Gymnastics Centre;2021-08-02;17:00;19:15;"Men's Rings Final /
Men's Rings Victory Ceremony / Women's Floor Exercise Final /
Women's Floor Exercise Victory Ceremony / Men's Vault Final /
Men's Vault Victory Ceremony";
Artistic Gymnastics;Ariake Gymnastics Centre;2021-08-03;17:00;19:15;"Men's Parallel Bars Final /
Men's Parallel Bars Victory Ceremony / Women's Balance Beam Final /
Women's Balance Beam Victory Ceremony / Men's Horizontal Bar Final /
Men's Horizontal Bar Victory Ceremony";
Artistic Swimming;Tokyo Aquatics Centre;2021-08-02;19:30;21:30;Duet Free Routine Preliminary;
Artistic Swimming;Tokyo Aquatics Centre;2021-08-03;19:30;21:00;Duet Technical Routine;
Artistic Swimming;Tokyo Aquatics Centre;2021-08-04;19:30;21:00;"Duet Free Routine Final /
Duet Victory Ceremony";
Artistic Swimming;Tokyo Aquatics Centre;2021-08-06;19:30;21:00;Team Technical Routine;
Artistic Swimming;Tokyo Aquatics Centre;2021-08-07;19:30;21:10;"Team Free Routine /
Team Victory Ceremony";
Athletics;Olympic Stadium;2021-07-30;09:00;12:30;"Men's 3000m Steeplechase Round 1 / Men's High Jump Qualifying Round / Men's Discus Throw Qualifying Round / Women's 800m Round 1 /
Men's 400m Hurdles Round 1 /
Women's 100m Round 1";
Athletics;Olympic Stadium;2021-07-30;19:00;21:00;"Women's 5000m Round 1 /
Women's Triple Jump Qualifying Round / Women's Shot Put Qualifying Round / Mixed 4 x 400m Relay Round 1 /
Men's 10,000m Final";
Athletics;Olympic Stadium;2021-07-31;09:00;12:00;"Women's 400m Hurdles Round 1 / Women's Discus Throw Qualifying Round / Men's Pole Vault Qualifying Round /  Men's 800m Round 1 /
Women's 100m Hurdles Qualifying Round /
Men's 100m Preliminary Round";
Athletics;Olympic Stadium;2021-07-31;19:00;21:55;"Men's 10,000m Victory Ceremony / Men's Long Jump Qualifying Round / Women's 100m Semifinals /
Men's 100m Round 1 / Men's Discus Throw Final / Women's 800m Semifinals / Mixed 4 x 400m Relay Final /
Women's 100m Final";
Athletics;Olympic Stadium;2021-08-01;9:10;12:00;"Women's Hammer Throw Qualifying Round / Women's 3000m Steeplechase Round 1 / Women's Long Jump Qualifying Round / Men's Discus Throw Victory Ceremony / Women's Shot Put Final /
Men's 400m Round 1 /
Mixed 4 x 400m Relay Victory Ceremony";
Athletics;Olympic Stadium;2021-08-01;19:00;21:55;"Women's 100m Victory Ceremony / Men's High Jump Final /
Men's 100m Semifinals /
Women's 100m Hurdles Semifinals / Women's Shot Put Victory Ceremony / Women's Triple Jump Final /
Men's 800m Semifinals /
Men's 400m Hurdles Semifinals / Men's High Jump Victory Ceremony / Men's 100m Final";
Athletics;Olympic Stadium;2021-08-02;09:00;11:55;"Men's Hammer Throw Qualifying Round / Women's 1500m Round 1 /
Women's Triple Jump Victory Ceremony / Men's Long Jump Final /
Women's 200m Round 1 /
Women's 100m Hurdles Final";
Athletics;Olympic Stadium;2021-08-02;19:00;22:00;"Men's 100m Victory Ceremony / Men's Long Jump Victory Ceremony /
Women's Pole Vault Qualifying Round / Women's 200m Semifinals /
Women's 100m Hurdles Victory Ceremony / Women's Discus Throw Final /
Men's 400m Semifinals /
Women's 400m Hurdles Semifinals / Men's 3000m Steeplechase Final / Women's 5000m Final";
Athletics;Olympic Stadium;2021-08-03;09:00;12:35;"Men's Triple Jump Qualifying Round / Men's 1500m Round 1 /
Women's Javelin Throw Qualifying Round / Women's 400m Round 1 /
Women's Discus Throw Victory Ceremony / Men's 3000m Steeplechase Victory Ceremony / Women's Long Jump Final /
Men's 200m Round 1 / Men's 400m Hurdles Final /
Women's 5000m Victory Ceremony";
Athletics;Olympic Stadium;2021-08-03;19:00;21:55;"Women's Long Jump Victory Ceremony / Men's 110m Hurdles Round 1 /
Men's Shot Put Qualifying Round / Men's Pole Vault Final /
Men's 400m Hurdles Victory Ceremony / Men's 5000m Round 1 /
Women's Hammer Throw Final / Men's 200m Semifinals / Women's 800m Final /
Women's 200m Final";
Athletics;Olympic Stadium;2021-08-04;09:00;12:25;"Men's Decathlon 100m /
Men's Javelin Throw Qualifying Round / Women's Heptathlon 100m Hurdles / Men's Decathlon Long Jump /
Men's Pole Vault Victory Ceremony / Women's Heptathlon High Jump /
Women's Hammer Throw Victory Ceremony  / Women's 800m Victory Ceremony /
Men's 110m Hurdles Semifinals / Women's 400m Hurdles Final / Men's Decathlon Shot Put /
Women's 400m Hurdles Victory Ceremony";
Athletics;Olympic Stadium;2021-08-04;18:30;22:00;"Men's Decathlon High Jump / Women's 1500m Semifinals / Women's Heptathlon Shot Put / Women's 400m Semifinals / Women's 200m Victory Ceremony  / Women's 3000m Steeplechase Final / Men's Hammer Throw Final / Women's Heptathlon 200m /
Women's 3000m Steeplechase Victory Ceremony / Men's 800m Final /
Men's Decathlon 400m /
Men's 200m Final";
Athletics;Olympic Stadium;2021-08-05;09:00;15:05;"Men's Decathlon 110m Hurdles / Women's High Jump Qualifying Round / Men's Hammer Throw Victory Ceremony / Women's Heptathlon Long Jump /
Men's Decathlon Discus Throw / Women's 4 x 100m Relay Round 1 / Men's 800m Victory Ceremony / Men's 200m Victory Ceremony / Men's Triple Jump Final /
Men's Shot Put Final /
Men's 4 x 100m Relay Round 1 / Men's 110m Hurdles Final / Men's Decathlon Pole Vault /
Women's Heptathlon Javelin Throw";
Athletics;Sapporo Odori Park;2021-08-05;16:30;18:05;"Men's 20km Race Walk Final /
Men's 20km Race Walk Venue Ceremony
*Session tickets not for sale";
Athletics;Olympic Stadium;2021-08-05;19:00;21:45;"Men's Shot Put Victory Ceremony / Men's Triple Jump Victory Ceremony / Men's Decathlon Javelin Throw / Women's Pole Vault Final /
Women's 4 x 400m Relay Round 1 / Men's 1500m Semifinals /
Men's 110m Hurdles Victory Ceremony / Men's 400m Final /
Women's Heptathlon 800m /
Men's Decathlon 1500m";
Athletics;Sapporo Odori Park;2021-08-06;5:30;10:00;"Men's 50km Race Walk Final /
Men's 50km Race Walk Venue Ceremony
*Session tickets not for sale";
Athletics;Sapporo Odori Park;2021-08-06;16:30;18:15;"Women's 20km Race Walk Final /
Women's 20km Race Walk Venue Ceremony
*Session tickets not for sale";
Athletics;Olympic Stadium;2021-08-06;19:50;22:55;"Men's 20km Race Walk Victory Ceremony / Women's Pole Vault Victory Ceremony / Women's Heptathlon Victory Ceremony / Men's Decathlon Victory Ceremony / Men's 4 x 400m Relay Round 1 /
Women's Javelin Throw Final / Men's 5000m Final /
Men's 400m Victory Ceremony / Women's 400m Final /  Women's 1500m Final /
Men's 5000m Victory Ceremony / Women's 400m Victory Ceremony / Women's 4 x 100m Relay Final / Women's 1500m Victory Ceremony /
Men's 4 x 100m Relay Final";
Athletics;Sapporo Odori Park;2021-08-07;07:00;10:15;"Women's Marathon Final /
Women's Marathon Venue Ceremony
*Session tickets not for sale
*The victory ceremony of Women's Marathon will take place at the Olympic Stadium during the closing ceremony.";
